Index,Acreage_data Page,Pop_data Page,STATE/SUPERINTENDENCY,TRIBE,AGENCY,RESERVATION,YEAR,POPULATION,ACREAGE,SCHOOL,N_STUDENTS,DAY Y/N/B,BOARDING_N_ACC,DAY_N_ACC,STUDENTS_ENROLL,AVG_ATTENDANCE,N_MISSIONARIES,ARCHIVE NOTES,,
1,582,589,,Yancton Sioux,Yancton Sioux,,1865,2500,400000,NA,NA,NA,NA,NA,,NA,NA,,,
2,582,589,,Yakamas,Yakamas,,1865,3000,N/A,NA,NA,NA,NA,NA,,NA,NA,,,
3,581,589,,"Arickarees, Gros Ventres, Mandanas, Assinaboines, and Crows",Upper Missouri,,1865,9280,N/A,NA,NA,NA,NA,NA,,NA,NA,,,
4,583,589,,Tules and Owens River,Tule River,,1865,800,1280,NA,NA,NA,NA,NA,,NA,NA,,,
5,583,589,,"Dwamish and other tribes, parties to treaty of Point Elliott, 1855",Tulalip ,,1865,1900,N/A,NA,NA,NA,NA,NA,,NA,NA,,,
6,583,589,,"Wylackies, Humboldts",Smith River,,1865,700,1387,NA,NA,NA,NA,NA,,NA,NA,,,
7,NA,577,,Shawnees,Shawnee,,1865,1860,N/A,NA,N/A,NA,NA,NA,,NA,N/A,,,
8,580,577,,Sacs and Foxes of Mississippi,Sac and Fox,,1865,805,9 by 15 miles,NA,15+10,NA,NA,NA,,NA,1,,,
9,581,577,,Chippewas and Christians,Sac and Fox,,1865,80,3200,NA,10+15,NA,NA,NA,,NA,1,,,
10,583,589,,"Ukies, Ooncows, and others ",Round Valley,,1865,1310,25000,NA,NA,NA,NA,NA,,NA,NA,,,
11,582,589,,Puyallups,Puyallup ,,1865,2000,N/A,NA,NA,NA,NA,NA,,NA,NA,,,
12,580,576,,Pottawatonmies,Pottawatomie,,1865,1874,30 by 30 miles,NA,100+78,NA,NA,NA,,NA,4,,,
13,582,577,,Poncas,Ponca,,1865,976,90 sq. m.,NA,N/A,NA,NA,NA,,NA,N/A,,,
14,580,576,,Pawnees,Pawnee,,1865,2800,N/A,NA,13+9,NA,NA,NA,,NA,N/A,,,
15,580,576,,Ottoes and Missourias,Ottoe and Missourias,,1865,508,10 by 25 miles,NA,N/A,NA,NA,NA,,NA,NA,,,
16,581,577,,Ottawas,Ottawa,,1865,200,76000,NA,15+20,NA,NA,NA,,NA,1,,,
17,581,577,,Miamies of Kansas,Osage River,,1865,127,57600,NA,N/A,NA,NA,NA,,NA,NA,,,
18,581,577,,"Peorins , Piankeshaws, Kaskaskias, and Weas",Osage River,,1865,236,6400,NA,N/A,NA,NA,NA,,NA,NA,,,
19,580,576,Nebraska,Omahas,Omaha,,1865,1002,18 by 30 miles,NA,23+21,NA,NA,NA,,NA,1,,,
20,582,577,Idaho,Nez Perces,Nez Perces,,1865,2830,"10,000 sq. m.",NA,N/A,NA,NA,NA,,NA,N/A,,,
21,581,577,,Osages ,Neosho,,1865,2800,4000000,NA,65+50,NA,NA,NA,,NA,NA,,,
22,581,577,,"Quapaws, Senecas and Shawnees, and Senecas",Neosho,,1865,670,"96,000 + 60000 + 65000",NA,N/A,NA,NA,NA,,NA,N/A,,,
23,582,577,Washington,Makahs ,Neeah Bay ,,1865,675,20 sq. m.,NA,48+30,NA,NA,NA,,NA,N/A,,,
24,580,575,Michigan,Chippewas of Lake Superior,Michigan,,1865,1058,N/A,L'Anse,27+12+24+28,NA,NA,NA,,NA,1+1,,,
25,580,575,Michigan,Ottawas and Chippewas,Michigan,,1865,4923,N/A,NA,9+6 + ...,NA,NA,NA,,NA,10,,,
26,580,575,Michigan,"Chippewas of Saginaw, Swan Creek, and Black River",Michigan,,1865,1581,N/A,NA,25+21+36+21+9+8+12+5+18+8+30+21,NA,NA,NA,,NA,1,,,
27,580,576,Michigan,"Chippewas, Ottawas, and Pottawatomies",Michigan,,1865,242,N/A,NA,,NA,NA,NA,,NA,NA,,,
28,580,576,Michigan,Pottawatomies of Huron,Michigan,,1865,45,N/A,NA,6+3,NA,NA,NA,,NA,NA,,,
29,581,589,,Seminoles,Meniole,,1865,2000,4000000,NA,NA,NA,NA,NA,,NA,NA,,,
30,581,590,,Kickapoos,Kickapoo,,1865,238,150000,NA,NA,NA,NA,NA,,NA,NA,,,
31,581,577,,Kansas or Kaws,Kansas,,1865,701,9 by 14 miles,NA,33+7,NA,NA,NA,,NA,NA,"N_missionary: ""friends""",,
32,583,583,,Various Tribes,Hoopa Valley,,1865,600,N/A,NA,NA,NA,NA,NA,,NA,NA,,,
33,580,576,Wisconsin,Stockbridges and Munsees,Green Bay ,,1865,338,46080,NA,18+9,NA,NA,NA,,NA,NA,,,
34,580,576,Wisconsin,Oneidas,Green Bay ,,1865,1064,61000,NA,50+31,NA,NA,NA,,NA,1,,,
35,580,576,Wisconsin,Menomonees,Green Bay ,,1865,1879,230400,NA,59+41,NA,NA,NA,,NA,1,,,
36,580,576,,Iowas,Great Nemaha ,,1865,294,16000,NA,19+18,NA,NA,NA,,NA,NA,,,
37,580,576,,Sacs and Foxes of Missouri,Great Nemaha ,,1865,95,16000,NA,N/A,NA,NA,NA,,NA,N/A,,,
38,582,589,,"Flatheads, Pend d'Oreilles, and Kootenays",Flathead,,1865,551+908+273,"2,000 sq. m.",NA,NA,NA,NA,NA,,NA,NA,,,
39,581,577,,Delawares,Delaware,,1865,1064,10300,NA,112+86,NA,NA,NA,,NA,NA,,,
40,582,577,,Sioux of the Mississippi,Crow Creek,,1865,1039,550000,NA,133+164,NA,NA,NA,,NA,1,,,
41,581,577,,Creeks,Creek,,1865,14396,N/A,NA,N/A,NA,NA,NA,,NA,NA,,,
42,363,350,,Chippewas of Lake Superior ,Various Bands,,1866,4500,NA,NA,NA,NA,NA,NA,,NA,NA,,,
43,363,349,Oregan Superintendency ,,Siletz Agency ,,1866,2068,NA,NA,NA,NA,NA,NA,,NA,NA,,,
44,363,349,,Cattaraugust,New York Agency,,1866,1386,21680 (A),NA,160+160,NA,NA,NA,,NA,3,,,
45,363,349,,Cayugas with Senecas,New York Agency,,1866,150,NA,NA,NA,NA,NA,NA,,NA,NA,,,
46,363,349,,Onondagas with Senecas,New York Agency,,1866,138,NA,NA,NA,NA,NA,NA,,NA,NA,,,
47,363,349,,Allegany,New York Agency,,1866,845,30469 (A),NA,86+70,NA,NA,NA,,NA,3,,,
48,363,349,,Tonawanda,New York Agency,,1866,529,7000 (A),NA,45+50,NA,NA,NA,,NA,1,,,
49,363,349,,Tuscaroras,New York Agency,,1866,360,6000 (A),NA,47+46,NA,NA,NA,,NA,1,,,
50,363,349,,Oneidas,New York Agency,,1866,184,288 (A),NA,40+14,NA,NA,NA,,NA,1,,,
51,NA,349,,Oneidas with Onondagas,New York Agency,,1866,96,NA,NA,NA,NA,NA,NA,,NA,NA,,,
52,363,349,,Onondagas  ,New York Agency,,1866,325,6100 (A),NA,85+69,NA,NA,NA,,NA,NA,,,
53,363,349,,Chippewas of Lake Superior ,Michigan Agency ,,1866,1058,90 (sm),NA,55+40,NA,NA,NA,,NA,2,,,
54,363,349,,Ottawas and Chippewas,Michigan Agency ,,1866,5207,900 (sm),NA,360+277,NA,NA,NA,,NA,15,,,
55,364,349,,"Chippewas of Saginaw, & C",Michigan Agency ,,1866,1562,100000 (A),NA,108+59,NA,NA,NA,,NA,5,,,
56,364,349,,"Chippewas, Ottawas, and Pottawatomies ",Michigan Agency ,,1866,232,NA,NA,20+10,NA,NA,NA,,NA,2,,,
57,364,349,,Pottawatomies of Huron,Michigan Agency ,,1866,46,NA,NA,5,NA,NA,NA,,NA,NA,,,
58,363,350,,Stockbridges and Munsees,Green Bay Agency ,,1866,152,146000 (A),NA,16+6,NA,NA,NA,,NA,2,,,
59,363,350,,Oneidas,Green Bay Agency ,,1866,1104,161000 (A),NA,63+46,NA,NA,NA,,NA,1,,,
60,363,350,,Menomonees,Green Bay Agency ,,1866,1376,123000 (A),NA,60+51,NA,NA,NA,,NA,1,,,
61,363,350,,Stockbridges and Munsees,Green Bay Agency,,1866,152,146000,NA,16+6,NA,NA,NA,,NA,2,,,
62,363,350,,Oneidas,Green Bay Agency,,1866,1104,161000,NA,64+46,NA,NA,NA,,NA,1,,,
63,363,350,,Menomonees,Green Bay Agency,,1866,1376,123000,NA,60+51,NA,NA,NA,,NA,1,,,
64,364,350,,Chippewas of the Mississippi,Chippewas of the Mississippi,,1866,2166,3200 (sm),NA,NA,NA,NA,NA,,NA,NA,,,
65,364,350,,Pillager and Lake Winnebagoshish,Chippewas of the Mississippi,,1866,1899,400 (sm),NA,NA,NA,NA,NA,,NA,NA,,,
66,364,350,,Red Lake ,Chippewas of the Mississippi,,1866,1899,5000 (sm),NA,NA,NA,NA,NA,,NA,NA,,,
67,364,350,,Pembina,Chippewas of the Mississippi,,1866,931,NA,NA,NA,NA,NA,NA,,NA,NA,,,
68,364,350,,Mississippi band,Chippewas of Mississippi,,1866,2166,3200,NA,NA,NA,NA,NA,,NA,NA,,,
69,364,350,,Pillager and Lake Winnebegoshish bands,Chippewas of Mississippi,,1866,1899,400,NA,NA,NA,NA,NA,,NA,NA,,,
70,364,350,,Red Lake,Chippewas of Mississippi,,1866,1183,5000,NA,NA,NA,NA,NA,,NA,NA,,,
71,364,350,,Pembina,Chippewas of Mississippi,,1866,931,NA,NA,NA,NA,NA,NA,,NA,NA,,,
72,NA,350,,Various Bands,Chippewas of Lake Superior ,,1866,4500,NA,NA,NA,NA,NA,NA,,NA,NA,,,
73,363,349,Oregan Superintendency ,,Alsea Agency ,,1866,530,NA,NA,NA,NA,NA,NA,,NA,NA,,,
74,NA,350,,Winnebagoes,Agency in Wisconsin,,1866,700,NA,NA,NA,NA,NA,NA,,NA,NA,,,
75,NA,350,,Pattawatomies,Agency in Wisconsin,,1866,650,NA,NA,NA,NA,NA,NA,,NA,NA,,,
76,351,346,Northern Superintendency ,Winnebagoes,,,1866,1750,200 (sm),NA,NA,NA,NA,NA,,NA,NA,,,
77,351,346,Northern Superintendency ,Omahast,,,1866,997,540 (sm),NA,42+19,NA,NA,NA,,NA,1,,,
78,351,346,Northern Superintendency ,Ottoes and Missourisas,,,1866,511,250 (sm),NA,NA,NA,NA,NA,,NA,NA,,,
79,351,346,Northern Superintendency ,Pawnees,,,1866,2750,NA,NA,NA,NA,NA,NA,,NA,NA,,,
80,351,346,Northern Superintendency ,Sacs and Foxes of the Missouri,,,1866,102,16000 (A),NA,NA,NA,NA,NA,,NA,NA,,,
81,351,346,Northern Superintendency ,Iowas,,,1866,303,16000 (A),NA,37+16,NA,NA,NA,,NA,NA,,,
82,NA,346,Northern Superintendency ,Brule and Ogalallah Sioux,,,1866,7865,NA,NA,NA,NA,NA,NA,,NA,NA,,,
83,NA,346,Northern Superintendency ,Cheyennes,,,1866,1800,NA,NA,NA,NA,NA,NA,,NA,NA,,,
84,NA,346,Northern Superintendency ,Arapahoes,,,1866,750,NA,NA,NA,NA,NA,NA,,NA,NA,,,
85,351,346,Northern Superintendency ,Santee Sioux,,,1866,1350,NA,NA,103+76,NA,NA,NA,,NA,1,,,
86,351,346,Central Superintendency,Pattawatomies,,,1866,1992,900 (sm),NA,106+78,NA,NA,NA,,NA,4,,,
87,351,346,Central Superintendency,Sacs and Foxes of Mississippi,,,1866,766,135 (sm),NA,14+4,NA,NA,NA,,NA,1,,,
88,351,346,Central Superintendency,Chippewas and Christians,,,1866,80,9 (sec),NA,16+10,NA,NA,NA,,NA,1,,,
89,NA,346,Central Superintendency,Miamies of Kansas,,,1866,127,NA,NA,NA,NA,NA,NA,,NA,NA,,,
90,NA,346,Central Superintendency,"Peorins , Piankeshaws, Kaskaskias, and Weas",,,1866,236,NA,NA,NA,NA,NA,NA,,NA,NA,,,
91,351,346,Central Superintendency,Shawnees,,,1866,660,140800 (sm),NA,33+35,NA,NA,NA,,NA,NA,,,
