Name,Possible Other Name,Associated School,School Address,State,Start Date,End Date,Currently Operating,BSDC_Housing,BSDC_Education,BSDC_Federal_Support,BSDC_Timeframe,ST_Government,ST_Tribal,ST_Boarding_School,ST_Day_School,ST_Contract,ST_Mission,ST_Sanatorium,ST_Dormitory,ST_Training,ST_Jail,ST_Reservation,ST_Nonreservation,ST_College,ST_Residential,ST_Grant,ST_Health,ST_Industrial_Shool,ST_Farm,ST_Orphanage,ST_Seminary,ST_State,ST_Normal,ST_Vocational,ST_Independent,ST_Private
Absentee Shawnee Boarding School,,,"Shawnee, Oklahoma",OK,1871,1917,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Ah-Gwah-Ching Sanatorium and School,"Consolidated Chippewa Sanatorium, USPHS Minnesota State Indian Sanatorium, Minnesota Sanatorium for Consumptives",,"Onigum, Minnesota",MN,1907,2008,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Alamo Navajo School,"Alamo Boarding School, Alamo Navajo Day School, Alamo Navajo Community School, Alamo Navajo School Board, Inc.",,"Alamo, New Mexico",NM,1930,,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Albuquerque Indian School,"ndian Pueblo Training School, Fisk Institute, Fiske Institute, Albuquerque Industrial Boarding School, Albuquerque Training School, Albuquerque Boarding School",Indian Pueblo Training School,"Albuquerque, New Mexico",NM,1882,1981,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
American Indian Institute,Roe Indian Institute,,"Wichita, Kansas",KS,1915,1939,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Anaheim Boarding School,,,"Anaheim, California",CA,1885,1885,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Aneth Boarding and Day School,Aneth Community School,,"Montezuma Creek, Utah",UT,1935,,BIE Operated,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Anvik Mission,Christ Church Mission,,"Anvik, Alaska",AK,1892,1960,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Arapaho Boarding and Day School,Northern Arapahoe Boarding School,Shoshone Boarding and Day School,"Fort Washakie, Wyoming",WY,1878,1881,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Arapaho Manual Labor and Boarding School,"Arapaho Industrial Boarding School, Arapaho Boarding School","Concho Indian Boarding School, Cheyenne Manual Labor and Boarding School","El Reno, Oklahoma",OK,1872,1909,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
