state,region,division,statefip,year,tot_pop,children,white_immig,blk,urban,tot_hh,police,teachers,socwork,child_inst_correctional,child_inst_mental,child_inst_poor_disabled,statename,hs_acres,hs_claims,statehood_year
AL,South,East South Central,1,1870,995618.6599999999,493478.05,9507.89,467006.8,65205.829999999994,995618.6599999999,361,2025,0,NA,NA,NA,Alabama,0,0,1819
AL,South,East South Central,1,1880,1262434.67,631423.05,11481.34,579408.45,74985.95,1262434.67,297,2942,0,122,4,215,Alabama,381426,3717,1819
AL,South,East South Central,1,1900,1842206,885139,13639,844829,223220,1842706,540,5121,19,161,48,398,Alabama,3548920,30925,1819
AL,South,East South Central,1,1910,2126456,973210,20462,891917,381253,2127256,851,8403,9,143.42,0,143.42,Alabama,4217338,37656,1819
AL,South,East South Central,1,1920,2348060.37,1050002.83,17200.309999999998,905518.04,513191.66,2348060.37,1022,11309,48,390,33,502,Alabama,4541358,41331,1819
AL,South,East South Central,1,1930,2642467.2000000007,1128923.8499999999,16757.7,922985.85,729767.5499999999,2642467.2000000007,1578,17578,135,631,31,1202,Alabama,4575414,41768,1819
AL,South,East South Central,1,1940,2836142,1103704,6087,992800,859134,2836142,NA,NA,NA,NA,NA,NA,Alabama,4575414,41768,1819
AK,West,Pacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ,West,Mountain,4,1870,9474.039999999999,2750.62,1069.57,0,2577.6099999999997,9474.039999999999,4,5,0,NA,NA,NA,Arizona,0,0,1912
AZ,West,Mountain,4,1880,40439.270000000004,12027.210000000001,4640.51,1883.9,5577.2300000000005,40439.270000000004,26,49,0,1,0,0,Arizona,4448,30,1912
AZ,West,Mountain,4,1900,119532,48841,6316,702,18846,119532,137,487,0,3,3,125,Arizona,231539,1606,1912
AZ,West,Mountain,4,1910,193120,67693,18857,14131,62366,193420,193,945,7,97.71,0,0,Arizona,447948,3176,1912
AZ,West,Mountain,4,1920,334142.9,124092.41,17942.010000000002,6264.15,121629.48,334142.9,316,2393,10,106,0,0,Arizona,1630189,10812,1912
AZ,West,Mountain,4,1930,437517.3,166365.6,15546.300000000001,11003.550000000001,147992.7,437517.3,470,4199,44,122,39,185,Arizona,2887816,16203,1912
AZ,West,Mountain,4,1940,466587,166682,6100,18162,160080,466587,NA,NA,NA,NA,NA,NA,Arizona,4081591,20027,1912
AR,South,West South Central,5,1870,483718.79000000004,246947.01,4292.570000000001,120258.84,12928.75,483718.79000000004,116,1042,0,NA,NA,NA,Arkansas,0,0,1836
AR,South,West South Central,5,1880,802494.7899999999,404257,12820.68,223518.98,31550.91,802494.7899999999,251,1673,0,20,0,27,Arkansas,975845,9945,1836
AR,South,West South Central,5,1900,1326759,635947,13340,366808,104808,1326759,372,4419,2,86,4,358,Arkansas,4348324,39235,1836
AR,South,West South Central,5,1910,1568406,719625,18342,425849,212995,1573923,526,6822,3,52.78,71.71,501.96999999999997,Arkansas,6476482,57514,1836
AR,South,West South Central,5,1920,1754664.52,794290.14,18987.19,473116.32,285203.9,1754664.52,507,9451,14,162,81,261,Arkansas,7783929,70633,1836
AR,South,West South Central,5,1930,1870906.3500000003,771762.75,11003.550000000001,483550.5,391282.2,1870906.3500000003,863,12565,48,86,176,663,Arkansas,8104640,74232,1836
AR,South,West South Central,5,1940,1945292,741157,7964,480607,420389,1945292,NA,NA,NA,NA,NA,NA,Arkansas,8126387,74507,1836
CA,West,Pacific,6,1870,551366.3,199206.37,145746.71,2917.56,202707.41,551366.3,527,1989,0,NA,NA,NA,California,77088,496,1850
CA,West,Pacific,6,1880,864633.72,308198.42,204463.1,5402.92,376659.75,864633.72,1010,4668,6,89,16,1808,California,887803,7480,1850
CA,West,Pacific,6,1900,1473042,454903,307016,7614,774057,1482277,1629,10291,6,61,275,4833,California,4433607,31815,1850
CA,West,Pacific,6,1910,2387862,661653,487492,25061,1534860,2407384,2881,16505,57,71.71,0,8391.869999999999,California,5485196,39128,1850
CA,West,Pacific,6,1920,3427344.2600000002,970369.6399999999,593193.32,43284.05,2319789.66,3427344.2600000002,4304,26670,379,348,24,3644,California,7283760,52245,1850
CA,West,Pacific,6,1930,5701958.849999999,1557557.55,789429,83586.6,4108261.200000001,5701958.849999999,9980,52432,1422,796,252,4979,California,9431263,61889,1850
CA,West,Pacific,6,1940,6571651,1598310,314716,128337,4641048,6571651,NA,NA,NA,NA,NA,NA,California,10406313,66237,1850
CO,West,Mountain,8,1870,38986.979999999996,14496.57,6177.72,200.3,4472.23,38986.979999999996,22,69,0,NA,NA,NA,Colorado,20506,134,1876
CO,West,Mountain,8,1880,194318.88999999998,58215.52,32722.89,11506.52,50937.58,194318.88999999998,190,584,0,6,1,8,Colorado,297735,2214,1876
CO,West,Mountain,8,1900,542669,188570,91988,8213,269199,545973,418,3333,3,218,10,569,Colorado,2599872,17311,1876
CO,West,Mountain,8,1910,792578,269301,129444,11525,398687,797489,718,6076,11,501.96999999999997,0,1505.9099999999999,Colorado,4499646,29897,1876
CO,West,Mountain,8,1920,939257.36,336231.89999999997,110584.95999999999,12828.59,447752.72,939257.36,741,8502,84,463,15,499,Colorado,15127991,81746,1876
CO,West,Mountain,8,1930,1050384.75,361703.85,83081.85,10599.75,521103.89999999997,1050384.75,1129,11471,176,330,14,1389,Colorado,21017673,104132,1876
CO,West,Mountain,8,1940,1065818,330567,26515,10204,538734,1065818,NA,NA,NA,NA,NA,NA,Colorado,22007849,107128,1876
CT,Northeast,New England,9,1870,535232.78,202338.09,109750.02,9829.04,206952.49,535232.78,194,2833,0,NA,NA,NA,Connecticut,0,0,1788
CT,Northeast,New England,9,1880,622680.82,218524.98,129910.25,12227.67,262654.54,622680.82,317,3711,3,295,3,639,Connecticut,0,0,1788
CT,Northeast,New England,9,1900,900654,297441,218866,11946,568081,903262,616,5478,3,649,27,1269,Connecticut,0,0,1788
CT,Northeast,New England,9,1910,1131030,374999,330018,11526,777372,1134944,920,7568,18,788.81,0,1936.1699999999998,Connecticut,0,0,1788
CT,Northeast,New England,9,1920,1380570.3699999999,475234.62,372734.13,21607.9,962338.24,1380570.3699999999,1529,10159,133,548,202,1198,Connecticut,0,0,1788
CT,Northeast,New England,9,1930,1610455.35,540385.35,385830.89999999997,25742.25,1500823.6500000001,1610455.35,2547,14084,316,58,38,1921,Connecticut,0,0,1788
CT,Northeast,New England,9,1940,1703072,466733,105106,35158,1053442,1703072,NA,NA,NA,NA,NA,NA,Connecticut,0,0,1788
DE,South,South Atlantic,10,1870,124463.46,54160.26,7775.460000000001,20605.620000000003,30306.960000000003,124463.46,49,363,0,NA,NA,NA,Delaware,0,0,1787
DE,South,South Atlantic,10,1880,146603.54,66554.48999999999,12217.369999999999,26919.059999999998,55795.299999999996,146603.54,61,500,0,4,0,107,Delaware,0,0,1787
DE,South,South Atlantic,10,1900,177599,64984,13541,31604,80514,177599,130,869,0,1,4,383,Delaware,0,0,1787
DE,South,South Atlantic,10,1910,199002,65492,16960,39222,96777,199702,158,1155,1,0,0,430.26,Delaware,0,0,1787
DE,South,South Atlantic,10,1920,222986.52,77256.56999999999,21208.48,31081.64,123839.64,222986.52,193,1206,25,0,13,105,Delaware,0,0,1787
DE,South,South Atlantic,10,1930,235314.45,78942.90000000001,16858.65,30285,121947.6,235314.45,300,1715,36,74,7,386,Delaware,0,0,1787
DE,South,South Atlantic,10,1940,260730,71090,4865,32746,133582,260730,NA,NA,NA,NA,NA,NA,Delaware,0,0,1787
FL,South,South Atlantic,12,1870,185658.83,95109.41,3795.69,87658.64,13685.130000000001,185658.83,61,271,0,NA,NA,NA,Florida,0,0,1845
FL,South,South Atlantic,12,1880,269482.43,134111.34,4764.5599999999995,128055.91,26651.17,269482.43,101,601,0,9,0,15,Florida,192704,1979,1845
FL,South,South Atlantic,12,1900,536060,244579,9731,237652,105916,536060,265,2323,1,52,25,89,Florida,1857950,15255,1845
FL,South,South Atlantic,12,1910,758091,316556,19956,316909,228150,758091,446,3461,3,105.56,52.78,40.44,Florida,2544959,20909,1845
FL,South,South Atlantic,12,1920,968428.34,384118.26,34321.38,318687,348319.3,968428.34,579,5575,33,343,64,79,Florida,3138929,26085,1845
FL,South,South Atlantic,12,1930,1424202.6,505355.69999999995,46235.1,426311.85,729161.85,1424202.6,1796,11328,99,109,56,890,Florida,3315329,27946,1845
FL,South,South Atlantic,12,1940,1890364,569842,28834,503031,1052605,1890364,NA,NA,NA,NA,NA,NA,Florida,3324176,28065,1845
GA,South,South Atlantic,13,1870,1181539.94,599460.39,11538.2,540324.29,112325.7,1181539.94,394,2207,0,NA,NA,NA,Georgia,0,0,1788
GA,South,South Atlantic,13,1880,1542103.3099999998,779212.43,9145.9,710239.8099999999,149446.65,1542103.3099999998,529,3564,2,85,15,343,Georgia,0,0,1788
GA,South,South Atlantic,13,1900,2215821,1060308,9442,1021462,359596,2217024,1047,8133,2,187,0,1060,Georgia,0,0,1788
GA,South,South Atlantic,13,1910,2649093,1224025,17281,1192589,565790,2650794,1481,11100,11,1003.9399999999999,0,1577.62,Georgia,0,0,1788
GA,South,South Atlantic,13,1920,2894710.61,1293033.93,12396.56,1209224.92,723997.5700000001,2894710.61,1536,14806,50,609,0,890,Georgia,0,0,1788
GA,South,South Atlantic,13,1930,2938553.5500000007,1225432.05,14334.9,1096417.95,893811.2999999999,2938553.5500000007,2431,20063,147,948,69,1450,Georgia,0,0,1788
GA,South,South Atlantic,13,1940,3120306,1153488,6613,1071955,1087912,3120306,NA,NA,NA,NA,NA,NA,Georgia,0,0,1788
HI,West,Pacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,West,Mountain,16,1870,14617.68,1828.42,2925.78,76.12,0,14617.68,20,20,0,NA,NA,NA,Idaho,0,0,1890
ID,West,Mountain,16,1880,32609.09,11580.87,7322.11,105.9,0,32609.09,14,106,0,NA,NA,NA,Idaho,66434,494,1890
ID,West,Mountain,16,1900,162205,68008,21466,806,10432,162205,70,866,0,0,7,4,Idaho,1230413,8312,1890
ID,West,Mountain,16,1910,326470,133603,33892,0,74235,326470,184,2229,6,NA,NA,NA,Idaho,3089720,22060,1890
ID,West,Mountain,16,1920,431844.79000000004,175632.03,39795.22,633.44,118412.53,431844.79000000004,231,3797,19,18,8,97,Idaho,7283639,49862,1890
ID,West,Mountain,16,1930,434488.8,163034.25,26852.7,706.65,128812.2,434488.8,349,5186,20,208,0,356,Idaho,9045581,57579,1890
ID,West,Mountain,16,1940,492743,174643,10000,2074,166259,492743,NA,NA,NA,NA,NA,NA,Idaho,9550093,59072,1890
IL,North Central,East North Central,17,1870,2529481.8400000003,1205510.28,507622.02,31186.9,572504,2529481.8400000003,1354,9423,1,NA,NA,NA,Illinois,78,2,1818
IL,North Central,East North Central,17,1880,3077731.0999999996,1372703.4,585705.72,41952.68,881942.35,3077731.0999999996,2092,16524,9,487,13,1489,Illinois,4794,59,1818
IL,North Central,East North Central,17,1900,4751618,1833120,951039,89357,2593328,4761025,5269,29489,11,897,95,3392,Illinois,5501,70,1818
IL,North Central,East North Central,17,1910,5612591,1974695,1162433,115651,3402221,5621509,7458,35379,180,1147.36,71.71,6453.9,Illinois,5625,72,1818
IL,North Central,East North Central,17,1920,6486072.200000001,2228306.86,1192335.6500000001,174132.74000000002,4406782.220000002,6486072.200000001,9352,44130,652,464,95,5923,Illinois,5625,72,1818
IL,North Central,East North Central,17,1930,7679165.549999995,2423304.7500000005,1230580.5,326977.05,5695296.1499999985,7679165.549999995,13346,60413,1226,264,825,9298,Illinois,5625,72,1818
IL,North Central,East North Central,17,1940,7880436,2101827,351500,387521,5779684,7880436,NA,NA,NA,NA,NA,NA,Illinois,5625,72,1818
IN,North Central,East North Central,18,1870,1673355.66,818842.43,143423.48,32545.6,255949.35,1673355.66,413,5071,0,NA,NA,NA,Indiana,0,0,1816
IN,North Central,East North Central,18,1880,1978206.12,875862.93,154796.84,41890.32,394485.44,1978206.12,858,10508,7,196,22,2141,Indiana,1272,15,1816
IN,North Central,East North Central,18,1900,2509584,958243,148824,60894,855572,2513907,1294,15573,27,505,38,3323,Indiana,1733,26,1816
IN,North Central,East North Central,18,1910,2690515,942866,149937,66178,1150559,2694726,1762,18658,62,645.39,0,2509.85,Indiana,1782,28,1816
IN,North Central,East North Central,18,1920,2930641.9699999997,1005373.97,150235.63999999998,84959.36,1477506.74,2930641.9699999997,2190,22170,157,374,48,2880,Indiana,1782,28,1816
IN,North Central,East North Central,18,1930,3304093.500000001,1099749.3,138806.25,106704.15000000001,1839409.9500000002,3304093.500000001,3556,28203,346,993,58,3878,Indiana,1782,28,1816
IN,North Central,East North Central,18,1940,3407387,987448,42593,119422,1879360,3407387,NA,NA,NA,NA,NA,NA,Indiana,1782,28,1816
IA,North Central,West North Central,19,1870,1191050.53,575695.2,197015.81,5710.67,159363.13,1191050.53,274,6257,1,NA,NA,NA,Iowa,50524,443,1846
IA,North Central,West North Central,19,1880,1624540.95,732799.12,272127.58,5260.97,229317.49,1624540.95,618,13961,3,214,44,672,Iowa,831968,8105,1846
IA,North Central,West North Central,19,1900,2197056,894418,306522,12735,543918,2201666,864,22591,6,40,87,2141,Iowa,890556,8736,1846
IA,North Central,West North Central,19,1910,2246247,815793,279496,15355,686821,2256963,1070,24221,17,71.71,71.71,2007.8799999999999,Iowa,903194,8851,1846
IA,North Central,West North Central,19,1920,2403896.73,839432.79,220442.84,19899.24,876018.25,2403896.73,1351,25504,91,210,32,1703,Iowa,903194,8851,1846
IA,North Central,West North Central,19,1930,2480240.5500000007,832029.8999999999,164043.75,13224.45,986483.3999999999,2480240.5500000007,2192,29752,136,634,46,2328,Iowa,903194,8851,1846
IA,North Central,West North Central,19,1940,2525751,746267,54937,14480,1076018,2525751,NA,NA,NA,NA,NA,NA,Iowa,903194,8851,1846
KS,North Central,West North Central,20,1870,363213.83,163460.42,49163.5,19120.37,45402.340000000004,363213.83,111,1457,0,NA,NA,NA,Kansas,154318,1101,1861
KS,North Central,West North Central,20,1880,995641.53,466515.42,112026.71,34131.19,109092.02,995641.53,356,5385,2,29,13,142,Kansas,3684188,27282,1861
KS,North Central,West North Central,20,1900,1466121,608050,126238,55134,336495,1468321,594,11015,2,242,18,829,Kansas,10724574,74721,1861
KS,North Central,West North Central,20,1910,1685982,640559,126777,54787,485685,1688383,713,14834,18,430.26,71.71,932.2299999999999,Kansas,11722659,81396,1861
KS,North Central,West North Central,20,1920,1766299.64,638950.57,101105,57620.78,623928.67,1766299.64,952,18635,36,325,21,660,Kansas,12969104,89280,1861
KS,North Central,West North Central,20,1930,1857580.9500000002,632754.6,69150.75,68444.1,733603.6499999999,1857580.9500000002,1884,22714,94,198,18,1705,Kansas,13089258,89945,1861
KS,North Central,West North Central,20,1940,1793116,536905,20804,68535,752923,1793116,NA,NA,NA,NA,NA,NA,Kansas,13089258,89945,1861
KY,South,East South Central,21,1870,1318470.16,664743.98,60769.99,236326.84,196007.21,1318470.16,663,3097,0,NA,NA,NA,Kentucky,0,0,1792
KY,South,East South Central,21,1880,1648613.21,789258.4,60297.74,282294.69,240101.61,1648613.21,789,4797,0,69,5,1426,Kentucky,0,0,1792
KY,South,East South Central,21,1900,2139915,951696,47145,301652,457743,2143736,1101,8982,3,95,52,1949,Kentucky,0,0,1792
KY,South,East South Central,21,1910,2333477,972975,41297,266106,580050,2335482,1407,11443,48,1122.8899999999999,143.42,2778.5499999999997,Kentucky,0,0,1792
KY,South,East South Central,21,1920,2417331.4,1001621.5,29905.600000000002,232383.89,641318.51,2417331.4,1428,12930,76,162,32,2115,Kentucky,0,0,1792
KY,South,East South Central,21,1930,2596837.8000000007,1053918,22209,239958.15,790438.5,2596837.8000000007,2142,17979,183,843,78,3114,Kentucky,0,0,1792
KY,South,East South Central,21,1940,2851210,1048699,12179,206886,843558,2851210,NA,NA,NA,NA,NA,NA,Kentucky,0,0,1792
LA,South,West South Central,22,1870,723767.94,344048.52999999997,57706.45,355298.6,208062.21,723767.94,863,1466,0,NA,NA,NA,Louisiana,0,0,1812
LA,South,West South Central,22,1880,939896.1499999999,452191.46,48378.4,486026.63,236423.54,939896.1499999999,723,2240,3,158,20,1909,Louisiana,217525,1774,1812
LA,South,West South Central,22,1900,1390589,649404,51451,642283,364487,1390589,753,4302,0,51,26,1004,Louisiana,1623729,12973,1812
LA,South,West South Central,22,1910,1701440,781683,51246,733732,514168,1703647,1030,6838,10,147.32,0,2581.56,Louisiana,2391737,20558,1812
LA,South,West South Central,22,1920,1794129.7399999998,772764.73,44514.65,714935.13,630140.82,1794129.7399999998,1038,9457,67,105,36,760,Louisiana,2539913,22618,1812
LA,South,West South Central,22,1930,2099053.3500000006,822136.7999999999,29881.2,803662.95,836471.7,2099053.3500000006,1989,14849,123,158,50,2034,Louisiana,2559949,22964,1812
LA,South,West South Central,22,1940,2352407,826542,9488,834132,966278,2352407,NA,NA,NA,NA,NA,NA,Louisiana,2559949,22964,1812
ME,Northeast,New England,23,1870,624539.6799999999,236134.19,48403.51,891.58,111889.67,624539.6799999999,152,4336,0,NA,NA,NA,Maine,0,0,1820
ME,Northeast,New England,23,1880,648896.63,238151.22,63839.48,1104.13,135591.03,648896.63,181,5799,2,116,17,263,Maine,0,0,1820
ME,Northeast,New England,23,1900,686471,219472,99837,302,246019,689888,285,6153,0,26,8,614,Maine,0,0,1820
ME,Northeast,New England,23,1910,764894,247970,122427,2416,306200,766498,396,6748,4,0,0,860.52,Maine,0,0,1820
ME,Northeast,New England,23,1920,767985.51,247132.31,109154.9,836.05,318194.23,767985.51,443,6783,21,6,0,714,Maine,0,0,1820
ME,Northeast,New England,23,1930,793870.7999999999,266003.25,102262.35,1918.05,459928.2,793870.7999999999,811,7711,48,176,8,770,Maine,0,0,1820
ME,Northeast,New England,23,1940,851109,268529,32058,1540,345671,851109,NA,NA,NA,NA,NA,NA,Maine,0,0,1820
MD,South,South Atlantic,24,1870,777991.91,351896.36,90279.66,172080.51,290650.69,777991.91,668,1965,0,NA,NA,NA,Maryland,0,0,1788
MD,South,South Atlantic,24,1880,934897.72,389912.24,83055.89,200221.13,373315.2,934897.72,854,3511,7,163,49,1602,Maryland,0,0,1788
MD,South,South Atlantic,24,1900,1169993,466740,100389,225229,597396,1171495,1074,6114,7,47,41,1884,Maryland,0,0,1788
MD,South,South Atlantic,24,1910,1289800,477764,109021,238136,659723,1291810,1484,7096,29,71.71,143.42,2557.0899999999997,Maryland,0,0,1788
MD,South,South Atlantic,24,1920,1452913.2700000003,510037.07,91428.93,248399.13999999998,873207.8300000001,1452913.2700000003,1822,8749,204,426,19,1629,Maryland,0,0,1788
MD,South,South Atlantic,24,1930,1633471.9500000002,550581.2999999999,94993.95,269435.55,962255.3999999999,1633471.9500000002,2808,11459,242,385,47,2235,Maryland,0,0,1788
MD,South,South Atlantic,24,1940,1818015,536888,32294,289886,186950,1818015,NA,NA,NA,NA,NA,NA,Maryland,0,0,1788
MA,Northeast,New England,25,1870,1451931.38,525520.03,359431.87,13815.77,965899.8700000001,1451931.38,1101,7358,11,NA,NA,NA,Massachusetts,0,0,1788
MA,Northeast,New England,25,1880,1783009.02,595134.83,443854.00999999995,16677.86,899390.7899999999,1783009.02,1719,9947,49,397,32,1726,Massachusetts,0,0,1788
MA,Northeast,New England,25,1900,2805778,900571,830007,31202,1909695,2811989,3186,16948,63,518,128,2899,Massachusetts,0,0,1788
MA,Northeast,New England,25,1910,3337567,1068530,1018557,31276,2294573,3347418,4580,23669,234,1219.07,143.42,6095.3499999999995,Massachusetts,0,0,1788
MA,Northeast,New England,25,1920,3853000.129999999,1263195.78,1074177.2200000002,45699.61,2717099.7699999996,3853000.129999999,6181,28361,776,849,153,3770,Massachusetts,0,0,1788
MA,Northeast,New England,25,1930,4279068.6000000015,1334559,1079155.5,42802.8,4094229.1500000013,4279068.6000000015,8593,39713,1190,1072,414,5443,Massachusetts,0,0,1788
MA,Northeast,New England,25,1940,4320307,1178694,298020,51385,2916917,4320307,NA,NA,NA,NA,NA,NA,Massachusetts,0,0,1788
MI,North Central,East North Central,26,1870,1178407.5899999999,515361,261767.45,12275.07,232658.29,1178407.5899999999,360,5159,0,NA,NA,NA,Michigan,182624,1453,1837
MI,North Central,East North Central,26,1880,1636809.2599999998,663504.49,383262.58,12771.34,434062.23,1636809.2599999998,650,9099,1,360,18,660,Michigan,1186373,10062,1837
MI,North Central,East North Central,26,1900,2464035,934049,565441,16438,976525,2471040,1218,15130,8,415,28,2197,Michigan,2038660,17074,1837
MI,North Central,East North Central,26,1910,2821657,995077,608640,17454,1351852,2825973,1656,20499,39,932.2299999999999,71.71,2581.56,Michigan,2214422,18735,1837
MI,North Central,East North Central,26,1920,3668238.350000001,1260849.03,761488.6000000001,69781.17,2258632.6399999997,3668238.350000001,3294,26926,264,119,64,1936,Michigan,2304448,19657,1837
MI,North Central,East North Central,26,1930,4811176.05,1650936.3000000003,857065.4999999999,162125.7,3278250.3000000007,4811176.05,7414,40090,772,188,67,5069,Michigan,2321605,19853,1837
MI,North Central,East North Central,26,1940,5215893,1581263,235948,197730,3425264,5215893,NA,NA,NA,NA,NA,NA,Michigan,2321605,19853,1837
MN,North Central,West North Central,27,1870,438774.76,212679.52,158035.6,721.94,71223.71,438774.76,88,1713,0,NA,NA,NA,Minnesota,491032,3860,1858
MN,North Central,West North Central,27,1880,780745.1,346680.69,279278.74,3204.2200000000003,142659.77000000002,780745.1,292,4578,0,6,0,205,Minnesota,3224264,27818,1858
MN,North Central,West North Central,27,1900,1788181,741279,520049,4609,646611,1815445,1022,12620,5,355,36,943,Minnesota,7340051,59124,1858
MN,North Central,West North Central,27,1910,2075336,796214,536124,7519,823737,2088174,1506,19267,21,430.26,0,2966.1099999999997,Minnesota,9772326,78858,1858
MN,North Central,West North Central,27,1920,2385599.9299999997,881919.42,481198.44,4752.57,1065930.85,2385599.9299999997,1920,23416,201,30,39,852,Minnesota,10337365,84260,1858
MN,North Central,West North Central,27,1930,2574023.1000000006,893710.35,393906.89999999997,12214.95,1261975.95,2574023.1000000006,2904,26998,451,255,51,3472,Minnesota,10385522,84999,1858
MN,North Central,West North Central,27,1940,2780062,832809,118917,10995,1387713,2780062,NA,NA,NA,NA,NA,NA,Minnesota,10387871,85041,1858
MS,South,East South Central,28,1870,825284.76,420609.37,10262.07,446101.22,28546.88,825284.76,181,1553,0,NA,NA,NA,Mississippi,0,0,1817
MS,South,East South Central,28,1880,1131555.1700000002,583251.49,9654.800000000001,628456.26,39741.32,1131555.1700000002,323,3059,0,74,16,189,Mississippi,162080,1688,1817
MS,South,East South Central,28,1900,1545210,760207,7520,894468,121450,1545513,356,5585,1,61,32,226,Mississippi,1787074,14900,1817
MS,South,East South Central,28,1910,1802574,844543,9732,1027645,210535,1803675,536,7851,5,286.84,0,286.84,Mississippi,2445145,21537,1817
MS,South,East South Central,28,1920,1792898.59,815230.59,7739.03,943989.51,243349.1,1792898.59,545,10808,12,65,6,297,Mississippi,2621277,23862,1817
MS,South,East South Central,28,1930,1954694.8500000003,820824.45,6561.75,973965.6,329601.75,1954694.8500000003,1041,13814,24,111,73,936,Mississippi,2635199,24089,1817
MS,South,East South Central,28,1940,2155163,840075,5820,1060914,424502,2155163,NA,NA,NA,NA,NA,NA,Mississippi,2635199,24089,1817
MO,North Central,West North Central,29,1870,1715770.4100000001,843830.28,218969.53,119019.78,409367.12,1715770.4100000001,733,4096,3,NA,NA,NA,Missouri,15718,187,1821
MO,North Central,West North Central,29,1880,2168270.71,1015415.79,206989.11,156581.32,538687.62,2168270.71,1136,8588,2,106,22,1525,Missouri,975050,9617,1821
MO,North Central,West North Central,29,1900,3121821,1303189,212655,164009,1117612,3124125,2433,16190,6,429,65,2479,Missouri,2846073,26243,1821
MO,North Central,West North Central,29,1910,3358448,1253923,237037,154925,1464354,3367778,3161,20789,38,215.13,0,4804.57,Missouri,3496849,32870,1821
MO,North Central,West North Central,29,1920,3404892.7700000005,1189922.49,179727.8,169591.63,1597513.8000000003,3404892.7700000005,3438,24782,246,95,66,2083,Missouri,3643263,34619,1821
MO,North Central,West North Central,29,1930,3624609.750000001,1158502.2,149204.1,219061.5,1825075.0500000003,3624609.750000001,4505,29737,429,551,31,4246,Missouri,3644226,34631,1821
MO,North Central,West North Central,29,1940,3771941,1086059,48602,231705,1909042,3771941,NA,NA,NA,NA,NA,NA,Missouri,3644226,34631,1821
MT,West,Mountain,30,1870,17570.989999999998,2297.4,6278.69,0,0,17570.989999999998,21,25,0,NA,NA,NA,Montana,0,0,1889
MT,West,Mountain,30,1880,39156.54,10733.58,10575.6,202.44,0,39156.54,32,119,0,1,0,0,Montana,88547,572,1889
MT,West,Mountain,30,1900,234265,78743,56566,1402,84955,234865,270,1254,0,62,14,280,Montana,1200255,8095,1889
MT,West,Mountain,30,1910,371410,114240,93053,3708,139180,373219,359,2658,3,215.13,0,573.68,Montana,3171451,21602,1889
MT,West,Mountain,30,1920,548867.14,206440.64,100432.8,1073.94,166637.84,548867.14,452,5647,14,127,39,772,Montana,23099829,115996,1889
MT,West,Mountain,30,1930,547149,194126.85,79548.6,1514.25,177772.95,547149,545,6607,20,166,36,796,Montana,30545069,145738,1889
MT,West,Mountain,30,1940,529209,164042,23433,2200,192775,529209,NA,NA,NA,NA,NA,NA,Montana,31864124,150081,1889
NE,North Central,West North Central,31,1870,120307.47,52244.59,32173,111.68,20709.75,120307.47,35,339,0,NA,NA,NA,Nebraska,104358,701,1867
NE,North Central,West North Central,31,1880,452378.89,205829.54,112026.16,2767.94,61386.36,452378.89,178,2970,0,10,2,63,Nebraska,3105842,25604,1867
NE,North Central,West North Central,31,1900,1029281,435122,171774,3112,247546,1033696,435,9237,3,66,7,468,Nebraska,9630458,69001,1867
