year,STUSPS,ceded_acres,cumulative_ceded,total_acres_2021,prop_ceded
1784,AL,0,0,33496065.26225885,0
1785,AL,0,0,33496065.26225885,0
1788,AL,0,0,33496065.26225885,0
1790,AL,0,0,33496065.26225885,0
1791,AL,0,0,33496065.26225885,0
1794,AL,0,0,33496065.26225885,0
1795,AL,0,0,33496065.26225885,0
1796,AL,0,0,33496065.26225885,0
1797,AL,0,0,33496065.26225885,0
1798,AL,0,0,33496065.26225885,0
1801,AL,0,0,33496065.26225885,0
1802,AL,768739.2065746114,768739.2065746114,33496065.26225885,0.022950134607027287
1803,AL,0,768739.2065746114,33496065.26225885,0.022950134607027287
1804,AL,0,768739.2065746114,33496065.26225885,0.022950134607027287
1805,AL,1257220.935518532,2025960.1420931434,33496065.26225885,0.06048352623601618
1806,AL,1172825.1877589196,3198785.329852063,33496065.26225885,0.09549734587650935
1807,AL,0,3198785.329852063,33496065.26225885,0.09549734587650935
1808,AL,0,3198785.329852063,33496065.26225885,0.09549734587650935
1809,AL,0,3198785.329852063,33496065.26225885,0.09549734587650935
1814,AL,13999571.90339415,17198357.233246215,33496065.26225885,0.5134441045117077
1816,AL,8428755.509288581,25627112.742534794,33496065.26225885,0.7650783022389716
1817,AL,0,25627112.742534794,33496065.26225885,0.7650783022389716
1818,AL,0,25627112.742534794,33496065.26225885,0.7650783022389716
1819,AL,837699.7524270513,26464812.494961847,33496065.26225885,0.7900872024148056
1820,AL,0,26464812.494961847,33496065.26225885,0.7900872024148056
1821,AL,0,26464812.494961847,33496065.26225885,0.7900872024148056
1823,AL,67467.1165732153,26532279.61153506,33496065.26225885,0.7921013827683778
1824,AL,0,26532279.61153506,33496065.26225885,0.7921013827683778
1825,AL,0,26532279.61153506,33496065.26225885,0.7921013827683778
1826,AL,12790.628010775012,26545070.239545837,33496065.26225885,0.792483237410427
1827,AL,0,26545070.239545837,33496065.26225885,0.792483237410427
1828,AL,0,26545070.239545837,33496065.26225885,0.792483237410427
1829,AL,0,26545070.239545837,33496065.26225885,0.792483237410427
1830,AL,1029562.6039432755,27574632.843489114,33496065.26225885,0.823220059657526
1831,AL,0,27574632.843489114,33496065.26225885,0.823220059657526
1832,AL,5712652.052395993,33287284.895885106,33496065.26225885,0.993767018163504
1833,AL,0,33287284.895885106,33496065.26225885,0.993767018163504
1835,AL,1403257.5849227766,34690542.480807886,33496065.26225885,1
1836,AL,0,34690542.480807886,33496065.26225885,1
1837,AL,0,34690542.480807886,33496065.26225885,1
1838,AL,0,34690542.480807886,33496065.26225885,1
1839,AL,0,34690542.480807886,33496065.26225885,1
1842,AL,0,34690542.480807886,33496065.26225885,1
1846,AL,0,34690542.480807886,33496065.26225885,1
1847,AL,0,34690542.480807886,33496065.26225885,1
1848,AL,0,34690542.480807886,33496065.26225885,1
1851,AL,0,34690542.480807886,33496065.26225885,1
1852,AL,0,34690542.480807886,33496065.26225885,1
1853,AL,0,34690542.480807886,33496065.26225885,1
1854,AL,0,34690542.480807886,33496065.26225885,1
1855,AL,0,34690542.480807886,33496065.26225885,1
1856,AL,0,34690542.480807886,33496065.26225885,1
1857,AL,0,34690542.480807886,33496065.26225885,1
1858,AL,0,34690542.480807886,33496065.26225885,1
1859,AL,0,34690542.480807886,33496065.26225885,1
1860,AL,0,34690542.480807886,33496065.26225885,1
1861,AL,0,34690542.480807886,33496065.26225885,1
1863,AL,0,34690542.480807886,33496065.26225885,1
1864,AL,0,34690542.480807886,33496065.26225885,1
1865,AL,0,34690542.480807886,33496065.26225885,1
1866,AL,0,34690542.480807886,33496065.26225885,1
1867,AL,0,34690542.480807886,33496065.26225885,1
1868,AL,0,34690542.480807886,33496065.26225885,1
1869,AL,0,34690542.480807886,33496065.26225885,1
1870,AL,0,34690542.480807886,33496065.26225885,1
1871,AL,0,34690542.480807886,33496065.26225885,1
1872,AL,0,34690542.480807886,33496065.26225885,1
1873,AL,0,34690542.480807886,33496065.26225885,1
1874,AL,0,34690542.480807886,33496065.26225885,1
1875,AL,0,34690542.480807886,33496065.26225885,1
1876,AL,0,34690542.480807886,33496065.26225885,1
1877,AL,0,34690542.480807886,33496065.26225885,1
1878,AL,0,34690542.480807886,33496065.26225885,1
1879,AL,0,34690542.480807886,33496065.26225885,1
1880,AL,0,34690542.480807886,33496065.26225885,1
1881,AL,0,34690542.480807886,33496065.26225885,1
1882,AL,0,34690542.480807886,33496065.26225885,1
1883,AL,0,34690542.480807886,33496065.26225885,1
1884,AL,0,34690542.480807886,33496065.26225885,1
1886,AL,0,34690542.480807886,33496065.26225885,1
1887,AL,0,34690542.480807886,33496065.26225885,1
1888,AL,0,34690542.480807886,33496065.26225885,1
1889,AL,0,34690542.480807886,33496065.26225885,1
1890,AL,0,34690542.480807886,33496065.26225885,1
1891,AL,0,34690542.480807886,33496065.26225885,1
1892,AL,0,34690542.480807886,33496065.26225885,1
1893,AL,0,34690542.480807886,33496065.26225885,1
1784,AR,0,0,34238698.57790586,0
1785,AR,0,0,34238698.57790586,0
1788,AR,0,0,34238698.57790586,0
1790,AR,0,0,34238698.57790586,0
1791,AR,0,0,34238698.57790586,0
1794,AR,0,0,34238698.57790586,0
1795,AR,0,0,34238698.57790586,0
1796,AR,0,0,34238698.57790586,0
1797,AR,0,0,34238698.57790586,0
1798,AR,0,0,34238698.57790586,0
1801,AR,0,0,34238698.57790586,0
1802,AR,0,0,34238698.57790586,0
1803,AR,0,0,34238698.57790586,0
1804,AR,0,0,34238698.57790586,0
1805,AR,0,0,34238698.57790586,0
1806,AR,0,0,34238698.57790586,0
1807,AR,0,0,34238698.57790586,0
1808,AR,17522667.420607325,17522667.420607325,34238698.57790586,0.511779598769991
1809,AR,0,17522667.420607325,34238698.57790586,0.511779598769991
1814,AR,0,17522667.420607325,34238698.57790586,0.511779598769991
1816,AR,0,17522667.420607325,34238698.57790586,0.511779598769991
1817,AR,0,17522667.420607325,34238698.57790586,0.511779598769991
1818,AR,15844798.87745604,33367466.298063364,34238698.57790586,0.9745541648477053
1819,AR,0,33367466.298063364,34238698.57790586,0.9745541648477053
1820,AR,5430857.821187277,38798324.11925064,34238698.57790586,1
1821,AR,0,38798324.11925064,34238698.57790586,1
1823,AR,0,38798324.11925064,34238698.57790586,1
1824,AR,0,38798324.11925064,34238698.57790586,1
1825,AR,283414.57452570385,39081738.69377635,34238698.57790586,1
1826,AR,0,39081738.69377635,34238698.57790586,1
1827,AR,4094910.8908399693,43176649.58461632,34238698.57790586,1
1828,AR,0,43176649.58461632,34238698.57790586,1
1829,AR,4834.639268679504,43181484.223885,34238698.57790586,1
1830,AR,9506.029685223397,43190990.25357022,34238698.57790586,1
1831,AR,0,43190990.25357022,34238698.57790586,1
1832,AR,5672.944100301881,43196663.19767053,34238698.57790586,1
1833,AR,23721.01031536876,43220384.20798589,34238698.57790586,1
1835,AR,454115.31222860847,43674499.5202145,34238698.57790586,1
1836,AR,0,43674499.5202145,34238698.57790586,1
1837,AR,0,43674499.5202145,34238698.57790586,1
1838,AR,0,43674499.5202145,34238698.57790586,1
1839,AR,0,43674499.5202145,34238698.57790586,1
1842,AR,0,43674499.5202145,34238698.57790586,1
1846,AR,0,43674499.5202145,34238698.57790586,1
1847,AR,0,43674499.5202145,34238698.57790586,1
1848,AR,0,43674499.5202145,34238698.57790586,1
1851,AR,0,43674499.5202145,34238698.57790586,1
1852,AR,0,43674499.5202145,34238698.57790586,1
1853,AR,0,43674499.5202145,34238698.57790586,1
1854,AR,0,43674499.5202145,34238698.57790586,1
1855,AR,95704.68911366943,43770204.20932817,34238698.57790586,1
1856,AR,0,43770204.20932817,34238698.57790586,1
1857,AR,0,43770204.20932817,34238698.57790586,1
1858,AR,0,43770204.20932817,34238698.57790586,1
1859,AR,0,43770204.20932817,34238698.57790586,1
1860,AR,0,43770204.20932817,34238698.57790586,1
1861,AR,0,43770204.20932817,34238698.57790586,1
1863,AR,0,43770204.20932817,34238698.57790586,1
1864,AR,0,43770204.20932817,34238698.57790586,1
1865,AR,0,43770204.20932817,34238698.57790586,1
