STUSPS,total_acres_2021,year,morill_acres,homestead_acres,morill_acres_cum,homestead_acres_cum
AL,33496065.26225885,1862,0,0,0,0
AL,33496065.26225885,1863,0,0,0,0
AL,33496065.26225885,1864,0,0,0,0
AL,33496065.26225885,1865,0,0,0,0
AL,33496065.26225885,1866,0,0,0,0
AL,33496065.26225885,1867,0,0,0,0
AL,33496065.26225885,1868,0,0,0,0
AL,33496065.26225885,1869,0,0,0,0
AL,33496065.26225885,1870,0,0,0,0
AL,33496065.26225885,1871,0,0,0,0
AL,33496065.26225885,1872,0,1565,0,1565
AL,33496065.26225885,1873,0,4594,0,6159
AL,33496065.26225885,1874,0,13178,0,19337
AL,33496065.26225885,1875,0,43735,0,63072
AL,33496065.26225885,1876,0,99292,0,162364
AL,33496065.26225885,1877,0,59541,0,221905
AL,33496065.26225885,1878,0,60078,0,281983
AL,33496065.26225885,1879,0,55609,0,337592
AL,33496065.26225885,1880,0,43834,0,381426
AL,33496065.26225885,1881,0,63826,0,445252
AL,33496065.26225885,1882,0,96896,0,542148
AL,33496065.26225885,1883,0,118625,0,660773
AL,33496065.26225885,1884,0,131955,0,792728
AL,33496065.26225885,1885,0,159517,0,952245
AL,33496065.26225885,1886,0,180982,0,1133227
AL,33496065.26225885,1887,0,176825,0,1310052
AL,33496065.26225885,1888,0,191477,0,1501529
AL,33496065.26225885,1889,0,186271,0,1687800
AL,33496065.26225885,1890,0,205648,0,1893448
AL,33496065.26225885,1891,0,202176,0,2095624
AL,33496065.26225885,1892,0,159978,0,2255602
AL,33496065.26225885,1893,0,207771,0,2463373
AL,33496065.26225885,1894,0,236428,0,2699801
AL,33496065.26225885,1895,0,158210,0,2858011
AL,33496065.26225885,1896,0,170939,0,3028950
AL,33496065.26225885,1897,0,156588,0,3185538
AL,33496065.26225885,1898,0,124850,0,3310388
AL,33496065.26225885,1899,0,129033,0,3439421
AL,33496065.26225885,1900,0,109499,0,3548920
AL,33496065.26225885,1901,0,99632,0,3648552
AL,33496065.26225885,1902,0,71584,0,3720136
AL,33496065.26225885,1903,0,85583,0,3805719
AL,33496065.26225885,1904,0,76471,0,3882190
AL,33496065.26225885,1905,0,76979,0,3959169
AL,33496065.26225885,1906,0,72582,0,4031751
AL,33496065.26225885,1907,0,50338,0,4082089
AL,33496065.26225885,1908,0,45193,0,4127282
AL,33496065.26225885,1909,0,46515,0,4173797
AL,33496065.26225885,1910,0,43541,0,4217338
AL,33496065.26225885,1911,0,47476,0,4264814
AL,33496065.26225885,1912,0,34786,0,4299600
AL,33496065.26225885,1913,0,69423,0,4369023
AL,33496065.26225885,1914,0,31559,0,4400582
AL,33496065.26225885,1915,0,25426,0,4426008
AL,33496065.26225885,1916,0,48942,0,4474950
AL,33496065.26225885,1917,0,27357,0,4502307
AL,33496065.26225885,1918,0,14623,0,4516930
AL,33496065.26225885,1919,0,13804,0,4530734
AL,33496065.26225885,1920,0,10624,0,4541358
AL,33496065.26225885,1921,0,6939,0,4548297
AL,33496065.26225885,1922,0,5291,0,4553588
AL,33496065.26225885,1923,0,7792,0,4561380
AL,33496065.26225885,1924,0,4011,0,4565391
AL,33496065.26225885,1925,0,3126,0,4568517
AL,33496065.26225885,1926,0,3432,0,4571949
AL,33496065.26225885,1927,0,3465,0,4575414
AL,33496065.26225885,1928,0,0,0,4575414
AL,33496065.26225885,1929,0,0,0,4575414
AL,33496065.26225885,1930,0,0,0,4575414
AR,34238698.57790586,1862,0,0,0,0
AR,34238698.57790586,1863,0,0,0,0
AR,34238698.57790586,1864,0,0,0,0
AR,34238698.57790586,1865,0,0,0,0
AR,34238698.57790586,1866,0,0,0,0
AR,34238698.57790586,1867,0,0,0,0
AR,34238698.57790586,1868,0,0,0,0
AR,34238698.57790586,1869,0,0,0,0
AR,34238698.57790586,1870,0,0,0,0
AR,34238698.57790586,1871,0,825,0,825
AR,34238698.57790586,1872,0,3947,0,4772
AR,34238698.57790586,1873,0,14747,0,19519
AR,34238698.57790586,1874,0,68655,0,88174
AR,34238698.57790586,1875,0,122299,0,210473
AR,34238698.57790586,1876,0,188618,0,399091
AR,34238698.57790586,1877,0,177854,0,576945
AR,34238698.57790586,1878,0,185030,0,761975
AR,34238698.57790586,1879,0,103675,0,865650
AR,34238698.57790586,1880,0,110195,0,975845
AR,34238698.57790586,1881,0,89535,0,1065380
AR,34238698.57790586,1882,160,77244,160,1142624
AR,34238698.57790586,1883,0,117024,160,1259648
AR,34238698.57790586,1884,0,135067,160,1394715
AR,34238698.57790586,1885,0,143731,160,1538446
AR,34238698.57790586,1886,164.59,172264,324.59000000000003,1710710
AR,34238698.57790586,1887,0,225624,324.59000000000003,1936334
AR,34238698.57790586,1888,0,212350,324.59000000000003,2148684
AR,34238698.57790586,1889,0,181848,324.59000000000003,2330532
AR,34238698.57790586,1890,0,190121,324.59000000000003,2520653
AR,34238698.57790586,1891,0,168132,324.59000000000003,2688785
AR,34238698.57790586,1892,0,152430,324.59000000000003,2841215
AR,34238698.57790586,1893,0,181432,324.59000000000003,3022647
AR,34238698.57790586,1894,0,189553,324.59000000000003,3212200
AR,34238698.57790586,1895,0,179689,324.59000000000003,3391889
AR,34238698.57790586,1896,0,177563,324.59000000000003,3569452
AR,34238698.57790586,1897,0,176215,324.59000000000003,3745667
AR,34238698.57790586,1898,0,169476,324.59000000000003,3915143
AR,34238698.57790586,1899,0,183957,324.59000000000003,4099100
AR,34238698.57790586,1900,1608.12,249224,1932.71,4348324
AR,34238698.57790586,1901,0,223847,1932.71,4572171
AR,34238698.57790586,1902,640,204274,2572.71,4776445
AR,34238698.57790586,1903,0,215107,2572.71,4991552
AR,34238698.57790586,1904,160,186747,2732.71,5178299
AR,34238698.57790586,1905,0,210746,2732.71,5389045
AR,34238698.57790586,1906,0,250767,2732.71,5639812
AR,34238698.57790586,1907,0,218808,2732.71,5858620
AR,34238698.57790586,1908,0,226264,2732.71,6084884
AR,34238698.57790586,1909,0,185213,2732.71,6270097
AR,34238698.57790586,1910,0,206385,2732.71,6476482
AR,34238698.57790586,1911,0,177646,2732.71,6654128
AR,34238698.57790586,1912,0,191144,2732.71,6845272
AR,34238698.57790586,1913,0,159925,2732.71,7005197
AR,34238698.57790586,1914,0,156617,2732.71,7161814
AR,34238698.57790586,1915,0,112229,2732.71,7274043
AR,34238698.57790586,1916,0,88605,2732.71,7362648
AR,34238698.57790586,1917,0,130040,2732.71,7492688
AR,34238698.57790586,1918,0,93992,2732.71,7586680
AR,34238698.57790586,1919,0,99256,2732.71,7685936
AR,34238698.57790586,1920,0,97993,2732.71,7783929
AR,34238698.57790586,1921,0,71520,2732.71,7855449
AR,34238698.57790586,1922,0,53106,2732.71,7908555
AR,34238698.57790586,1923,0,42608,2732.71,7951163
AR,34238698.57790586,1924,0,42063,2732.71,7993226
AR,34238698.57790586,1925,0,28552,2732.71,8021778
AR,34238698.57790586,1926,0,18955,2732.71,8040733
AR,34238698.57790586,1927,0,19299,2732.71,8060032
AR,34238698.57790586,1928,0,13428,2732.71,8073460
AR,34238698.57790586,1929,0,15096,2732.71,8088556
AR,34238698.57790586,1930,0,16084,2732.71,8104640
AZ,73517528.31448689,1862,0,0,0,0
AZ,73517528.31448689,1863,0,0,0,0
AZ,73517528.31448689,1864,0,0,0,0
AZ,73517528.31448689,1865,0,0,0,0
AZ,73517528.31448689,1866,0,0,0,0
AZ,73517528.31448689,1867,0,0,0,0
AZ,73517528.31448689,1868,0,0,0,0
AZ,73517528.31448689,1869,0,0,0,0
AZ,73517528.31448689,1870,0,0,0,0
AZ,73517528.31448689,1871,0,0,0,0
AZ,73517528.31448689,1872,0,0,0,0
AZ,73517528.31448689,1873,0,0,0,0
AZ,73517528.31448689,1874,0,0,0,0
AZ,73517528.31448689,1875,800,0,800,0
AZ,73517528.31448689,1876,0,0,800,0
AZ,73517528.31448689,1877,0,800,800,800
AZ,73517528.31448689,1878,0,800,800,1600
AZ,73517528.31448689,1879,0,958,800,2558
AZ,73517528.31448689,1880,0,1890,800,4448
AZ,73517528.31448689,1881,0,2080,800,6528
AZ,73517528.31448689,1882,0,5315,800,11843
AZ,73517528.31448689,1883,0,6178,800,18021
AZ,73517528.31448689,1884,0,4535,800,22556
AZ,73517528.31448689,1885,0,4099,800,26655
AZ,73517528.31448689,1886,0,8392,800,35047
AZ,73517528.31448689,1887,0,7059,800,42106
AZ,73517528.31448689,1888,0,5913,800,48019
AZ,73517528.31448689,1889,0,8792,800,56811
AZ,73517528.31448689,1890,0,18067,800,74878
AZ,73517528.31448689,1891,0,18737,800,93615
AZ,73517528.31448689,1892,0,19182,800,112797
AZ,73517528.31448689,1893,0,20172,800,132969
AZ,73517528.31448689,1894,160,13444,960,146413
AZ,73517528.31448689,1895,0,10749,960,157162
AZ,73517528.31448689,1896,0,12922,960,170084
AZ,73517528.31448689,1897,0,13408,960,183492
AZ,73517528.31448689,1898,0,16042,960,199534
AZ,73517528.31448689,1899,0,15185,960,214719
