statename,year,hs_acres,hs_claims,state,statehood_year,region
Alabama,1868,0,0,AL,1819,South
Alabama,1869,0,0,AL,1819,South
Alabama,1870,0,0,AL,1819,South
Alabama,1871,0,0,AL,1819,South
Alabama,1872,1565,20,AL,1819,South
Alabama,1873,6159,82,AL,1819,South
Alabama,1874,19337,232,AL,1819,South
Alabama,1875,63072,674,AL,1819,South
Alabama,1876,162364,1580,AL,1819,South
Alabama,1877,221905,2190,AL,1819,South
Alabama,1878,281983,2774,AL,1819,South
Alabama,1879,337592,3318,AL,1819,South
Alabama,1880,381426,3717,AL,1819,South
Alabama,1881,445252,4343,AL,1819,South
Alabama,1882,542148,5227,AL,1819,South
Alabama,1883,660773,6293,AL,1819,South
Alabama,1884,792728,7510,AL,1819,South
Alabama,1885,952245,8926,AL,1819,South
Alabama,1886,1133227,10501,AL,1819,South
Alabama,1887,1310052,12063,AL,1819,South
Alabama,1888,1501529,13611,AL,1819,South
Alabama,1889,1687800,15107,AL,1819,South
Alabama,1890,1893448,16772,AL,1819,South
Alabama,1891,2095624,18468,AL,1819,South
Alabama,1892,2255602,19793,AL,1819,South
Alabama,1893,2463373,21459,AL,1819,South
Alabama,1894,2699801,23330,AL,1819,South
Alabama,1895,2858011,24660,AL,1819,South
Alabama,1896,3028950,26166,AL,1819,South
Alabama,1897,3185538,27582,AL,1819,South
Alabama,1898,3310388,28732,AL,1819,South
Alabama,1899,3439421,29898,AL,1819,South
Alabama,1900,3548920,30925,AL,1819,South
Alabama,1901,3648552,31842,AL,1819,South
Alabama,1902,3720136,32541,AL,1819,South
Alabama,1903,3805719,33360,AL,1819,South
Alabama,1904,3882190,34109,AL,1819,South
Alabama,1905,3959169,34895,AL,1819,South
Alabama,1906,4031751,35655,AL,1819,South
Alabama,1907,4082089,36202,AL,1819,South
Alabama,1908,4127282,36691,AL,1819,South
Alabama,1909,4173797,37183,AL,1819,South
Alabama,1910,4217338,37656,AL,1819,South
Alabama,1911,4264814,38187,AL,1819,South
Alabama,1912,4299600,38595,AL,1819,South
Alabama,1913,4369023,39338,AL,1819,South
Alabama,1914,4400582,39713,AL,1819,South
Alabama,1915,4426008,39995,AL,1819,South
Alabama,1916,4474950,40490,AL,1819,South
Alabama,1917,4502307,40819,AL,1819,South
Alabama,1918,4516930,41014,AL,1819,South
Alabama,1919,4530734,41192,AL,1819,South
Alabama,1920,4541358,41331,AL,1819,South
Alabama,1921,4548297,41417,AL,1819,South
Alabama,1922,4553588,41471,AL,1819,South
Alabama,1923,4561380,41572,AL,1819,South
Alabama,1924,4565391,41627,AL,1819,South
Alabama,1925,4568517,41669,AL,1819,South
Alabama,1926,4571949,41718,AL,1819,South
Alabama,1927,4575414,41768,AL,1819,South
Alabama,1928,4575414,41768,AL,1819,South
Alabama,1929,4575414,41768,AL,1819,South
Alabama,1930,4575414,41768,AL,1819,South
Alabama,1931,4575414,41768,AL,1819,South
Alabama,1932,4575414,41768,AL,1819,South
Alabama,1933,4575414,41768,AL,1819,South
Alabama,1934,4575414,41768,AL,1819,South
Alabama,1935,4575414,41768,AL,1819,South
Alabama,1936,4575414,41768,AL,1819,South
Alabama,1937,4575414,41768,AL,1819,South
Alabama,1938,4575414,41768,AL,1819,South
Alabama,1939,4575414,41768,AL,1819,South
Alabama,1940,4575414,41768,AL,1819,South
Alabama,1941,4575414,41768,AL,1819,South
Alabama,1942,4576053,41774,AL,1819,South
Alabama,1943,4576053,41774,AL,1819,South
Alabama,1944,4576053,41774,AL,1819,South
Alabama,1945,4576332,41779,AL,1819,South
Alabama,1946,4576492,41783,AL,1819,South
Alabama,1947,4576692,41786,AL,1819,South
Alabama,1948,4576992,41791,AL,1819,South
Alabama,1949,4577192,41796,AL,1819,South
Alabama,1950,4577232,41797,AL,1819,South
Alabama,1951,4577392,41800,AL,1819,South
Alabama,1952,4577432,41801,AL,1819,South
Alabama,1953,4577483,41803,AL,1819,South
Alabama,1954,4577683,41806,AL,1819,South
Alabama,1955,4577803,41807,AL,1819,South
Alabama,1956,4577923,41810,AL,1819,South
Alabama,1957,4578083,41814,AL,1819,South
Alabama,1958,4578163,41816,AL,1819,South
Alabama,1959,4578163,41816,AL,1819,South
Alabama,1960,4578323,41819,AL,1819,South
Alabama,1961,4578323,41819,AL,1819,South
Alaska,1868,0,0,AK,1959,West
Alaska,1869,0,0,AK,1959,West
Alaska,1870,0,0,AK,1959,West
Alaska,1871,0,0,AK,1959,West
Alaska,1872,0,0,AK,1959,West
Alaska,1873,0,0,AK,1959,West
Alaska,1874,0,0,AK,1959,West
Alaska,1875,0,0,AK,1959,West
Alaska,1876,0,0,AK,1959,West
Alaska,1877,0,0,AK,1959,West
Alaska,1878,0,0,AK,1959,West
Alaska,1879,0,0,AK,1959,West
Alaska,1880,0,0,AK,1959,West
Alaska,1881,0,0,AK,1959,West
Alaska,1882,0,0,AK,1959,West
Alaska,1883,0,0,AK,1959,West
Alaska,1884,0,0,AK,1959,West
Alaska,1885,0,0,AK,1959,West
Alaska,1886,0,0,AK,1959,West
Alaska,1887,0,0,AK,1959,West
Alaska,1888,0,0,AK,1959,West
Alaska,1889,0,0,AK,1959,West
Alaska,1890,0,0,AK,1959,West
Alaska,1891,0,0,AK,1959,West
Alaska,1892,0,0,AK,1959,West
Alaska,1893,0,0,AK,1959,West
Alaska,1894,0,0,AK,1959,West
Alaska,1895,0,0,AK,1959,West
Alaska,1896,0,0,AK,1959,West
Alaska,1897,0,0,AK,1959,West
Alaska,1898,0,0,AK,1959,West
Alaska,1899,0,0,AK,1959,West
Alaska,1900,0,0,AK,1959,West
Alaska,1901,0,0,AK,1959,West
Alaska,1902,0,0,AK,1959,West
Alaska,1903,0,0,AK,1959,West
Alaska,1904,0,0,AK,1959,West
Alaska,1905,580,9,AK,1959,West
Alaska,1906,594,12,AK,1959,West
Alaska,1907,1139,27,AK,1959,West
Alaska,1908,2125,41,AK,1959,West
Alaska,1909,2125,41,AK,1959,West
Alaska,1910,2125,41,AK,1959,West
Alaska,1911,2202,43,AK,1959,West
Alaska,1912,2202,43,AK,1959,West
Alaska,1913,3180,61,AK,1959,West
Alaska,1914,3898,72,AK,1959,West
Alaska,1915,5186,88,AK,1959,West
Alaska,1916,8618,118,AK,1959,West
Alaska,1917,11056,134,AK,1959,West
Alaska,1918,14135,178,AK,1959,West
Alaska,1919,21162,232,AK,1959,West
Alaska,1920,33888,299,AK,1959,West
Alaska,1921,45065,350,AK,1959,West
Alaska,1922,57596,422,AK,1959,West
Alaska,1923,65612,478,AK,1959,West
Alaska,1924,73774,527,AK,1959,West
Alaska,1925,77901,558,AK,1959,West
Alaska,1926,85976,617,AK,1959,West
Alaska,1927,91505,662,AK,1959,West
Alaska,1928,95763,711,AK,1959,West
Alaska,1929,100139,761,AK,1959,West
Alaska,1930,104751,810,AK,1959,West
Alaska,1931,107529,846,AK,1959,West
Alaska,1932,112314,911,AK,1959,West
Alaska,1933,116678,986,AK,1959,West
Alaska,1934,119631,1040,AK,1959,West
Alaska,1935,122141,1072,AK,1959,West
Alaska,1936,127115,1118,AK,1959,West
Alaska,1937,130933,1157,AK,1959,West
Alaska,1938,134384,1193,AK,1959,West
Alaska,1939,139734,1264,AK,1959,West
Alaska,1940,144591,1322,AK,1959,West
Alaska,1941,149588,1371,AK,1959,West
Alaska,1942,154282,1409,AK,1959,West
Alaska,1943,159045,1444,AK,1959,West
Alaska,1944,161799,1477,AK,1959,West
Alaska,1945,163352,1491,AK,1959,West
Alaska,1946,163592,1498,AK,1959,West
Alaska,1947,165161,1518,AK,1959,West
Alaska,1948,167562,1541,AK,1959,West
Alaska,1949,186092,1697,AK,1959,West
Alaska,1950,208979,1883,AK,1959,West
Alaska,1951,230298,2068,AK,1959,West
Alaska,1952,243747,2192,AK,1959,West
Alaska,1953,257685,2322,AK,1959,West
Alaska,1954,277442,2491,AK,1959,West
Alaska,1955,294888,2650,AK,1959,West
Alaska,1956,302907,2721,AK,1959,West
Alaska,1957,315378,2835,AK,1959,West
Alaska,1958,319544,2875,AK,1959,West
Alaska,1959,330567,2985,AK,1959,West
Alaska,1960,342413,3098,AK,1959,West
Alaska,1961,363765,3277,AK,1959,West
Arizona,1868,0,0,AZ,1912,West
Arizona,1869,0,0,AZ,1912,West
Arizona,1870,0,0,AZ,1912,West
Arizona,1871,0,0,AZ,1912,West
Arizona,1872,0,0,AZ,1912,West
Arizona,1873,0,0,AZ,1912,West
Arizona,1874,0,0,AZ,1912,West
Arizona,1875,0,0,AZ,1912,West
Arizona,1876,0,0,AZ,1912,West
Arizona,1877,800,5,AZ,1912,West
Arizona,1878,1600,10,AZ,1912,West
Arizona,1879,2558,16,AZ,1912,West
Arizona,1880,4448,30,AZ,1912,West
Arizona,1881,6528,45,AZ,1912,West
Arizona,1882,11843,79,AZ,1912,West
Arizona,1883,18021,122,AZ,1912,West
Arizona,1884,22556,158,AZ,1912,West
Arizona,1885,26655,194,AZ,1912,West
Arizona,1886,35047,259,AZ,1912,West
Arizona,1887,42106,307,AZ,1912,West
Arizona,1888,48019,349,AZ,1912,West
Arizona,1889,56811,408,AZ,1912,West
Arizona,1890,74878,529,AZ,1912,West
Arizona,1891,93615,655,AZ,1912,West
Arizona,1892,112797,774,AZ,1912,West
Arizona,1893,132969,911,AZ,1912,West
Arizona,1894,146413,1001,AZ,1912,West
Arizona,1895,157162,1073,AZ,1912,West
Arizona,1896,170084,1164,AZ,1912,West
Arizona,1897,183492,1257,AZ,1912,West
Arizona,1898,199534,1374,AZ,1912,West
Arizona,1899,214719,1489,AZ,1912,West
Arizona,1900,231539,1606,AZ,1912,West
Arizona,1901,250042,1740,AZ,1912,West
Arizona,1902,266985,1868,AZ,1912,West
Arizona,1903,291188,2039,AZ,1912,West
Arizona,1904,309280,2169,AZ,1912,West
Arizona,1905,329167,2309,AZ,1912,West
Arizona,1906,341904,2404,AZ,1912,West
Arizona,1907,356796,2517,AZ,1912,West
Arizona,1908,385279,2725,AZ,1912,West
Arizona,1909,412577,2923,AZ,1912,West
Arizona,1910,447948,3176,AZ,1912,West
Arizona,1911,502046,3577,AZ,1912,West
Arizona,1912,549084,3895,AZ,1912,West
Arizona,1913,643454,4540,AZ,1912,West
Arizona,1914,764292,5339,AZ,1912,West
Arizona,1915,882831,6137,AZ,1912,West
Arizona,1916,1054381,7193,AZ,1912,West
Arizona,1917,1206225,8099,AZ,1912,West
Arizona,1918,1349220,8998,AZ,1912,West
Arizona,1919,1477124,9836,AZ,1912,West
Arizona,1920,1630189,10812,AZ,1912,West
Arizona,1921,1808133,11742,AZ,1912,West
Arizona,1922,1950067,12445,AZ,1912,West
Arizona,1923,2095598,13160,AZ,1912,West
Arizona,1924,2239931,13785,AZ,1912,West
Arizona,1925,2384184,14345,AZ,1912,West
Arizona,1926,2502346,14796,AZ,1912,West
Arizona,1927,2622657,15199,AZ,1912,West
Arizona,1928,2685779,15492,AZ,1912,West
Arizona,1929,2792059,15865,AZ,1912,West
Arizona,1930,2887816,16203,AZ,1912,West
Arizona,1931,3028322,16730,AZ,1912,West
Arizona,1932,3154917,17189,AZ,1912,West
Arizona,1933,3260998,17564,AZ,1912,West
Arizona,1934,3389482,17986,AZ,1912,West
Arizona,1935,3566603,18507,AZ,1912,West
Arizona,1936,3735988,19018,AZ,1912,West
Arizona,1937,3885472,19439,AZ,1912,West
Arizona,1938,3989315,19733,AZ,1912,West
Arizona,1939,4049121,19917,AZ,1912,West
Arizona,1940,4081591,20027,AZ,1912,West
Arizona,1941,4096974,20067,AZ,1912,West
Arizona,1942,4104000,20093,AZ,1912,West
Arizona,1943,4110365,20117,AZ,1912,West
Arizona,1944,4114036,20131,AZ,1912,West
Arizona,1945,4114586,20137,AZ,1912,West
Arizona,1946,4115626,20142,AZ,1912,West
Arizona,1947,4116026,20146,AZ,1912,West
Arizona,1948,4116306,20149,AZ,1912,West
Arizona,1949,4120320,20160,AZ,1912,West
Arizona,1950,4120320,20160,AZ,1912,West
Arizona,1951,4121955,20176,AZ,1912,West
Arizona,1952,4124037,20195,AZ,1912,West
Arizona,1953,4125477,20206,AZ,1912,West
Arizona,1954,4126844,20222,AZ,1912,West
Arizona,1955,4128358,20233,AZ,1912,West
Arizona,1956,4130894,20249,AZ,1912,West
Arizona,1957,4132073,20258,AZ,1912,West
Arizona,1958,4132533,20261,AZ,1912,West
Arizona,1959,4133070,20266,AZ,1912,West
Arizona,1960,4133230,20267,AZ,1912,West
Arizona,1961,4133356,20268,AZ,1912,West
Arkansas,1868,0,0,AR,1836,South
Arkansas,1869,0,0,AR,1836,South
Arkansas,1870,0,0,AR,1836,South
Arkansas,1871,825,11,AR,1836,South
Arkansas,1872,4772,83,AR,1836,South
Arkansas,1873,19519,294,AR,1836,South
Arkansas,1874,88174,1122,AR,1836,South
Arkansas,1875,210473,2466,AR,1836,South
Arkansas,1876,399091,4429,AR,1836,South
Arkansas,1877,576945,6164,AR,1836,South
Arkansas,1878,761975,7972,AR,1836,South
Arkansas,1879,865650,8959,AR,1836,South
Arkansas,1880,975845,9945,AR,1836,South
Arkansas,1881,1065380,10807,AR,1836,South
Arkansas,1882,1142624,11562,AR,1836,South
Arkansas,1883,1259648,12680,AR,1836,South
Arkansas,1884,1394715,13961,AR,1836,South
Arkansas,1885,1538446,15311,AR,1836,South
Arkansas,1886,1710710,16883,AR,1836,South
Arkansas,1887,1936334,18824,AR,1836,South
Arkansas,1888,2148684,20665,AR,1836,South
Arkansas,1889,2330532,22269,AR,1836,South
Arkansas,1890,2520653,23875,AR,1836,South
Arkansas,1891,2688785,25311,AR,1836,South
Arkansas,1892,2841215,26587,AR,1836,South
Arkansas,1893,3022647,28095,AR,1836,South
Arkansas,1894,3212200,29656,AR,1836,South
Arkansas,1895,3391889,31179,AR,1836,South
Arkansas,1896,3569452,32699,AR,1836,South
Arkansas,1897,3745667,34179,AR,1836,South
Arkansas,1898,3915143,35607,AR,1836,South
Arkansas,1899,4099100,37165,AR,1836,South
Arkansas,1900,4348324,39235,AR,1836,South
Arkansas,1901,4572171,41114,AR,1836,South
Arkansas,1902,4776445,42834,AR,1836,South
Arkansas,1903,4991552,44686,AR,1836,South
Arkansas,1904,5178299,46259,AR,1836,South
Arkansas,1905,5389045,48086,AR,1836,South
Arkansas,1906,5639812,50255,AR,1836,South
Arkansas,1907,5858620,52156,AR,1836,South
Arkansas,1908,6084884,54110,AR,1836,South
Arkansas,1909,6270097,55719,AR,1836,South
Arkansas,1910,6476482,57514,AR,1836,South
Arkansas,1911,6654128,59086,AR,1836,South
Arkansas,1912,6845272,60715,AR,1836,South
Arkansas,1913,7005197,62276,AR,1836,South
Arkansas,1914,7161814,63786,AR,1836,South
Arkansas,1915,7274043,64958,AR,1836,South
Arkansas,1916,7362648,65932,AR,1836,South
Arkansas,1917,7492688,67361,AR,1836,South
Arkansas,1918,7586680,68414,AR,1836,South
Arkansas,1919,7685936,69540,AR,1836,South
Arkansas,1920,7783929,70633,AR,1836,South
Arkansas,1921,7855449,71408,AR,1836,South
Arkansas,1922,7908555,71980,AR,1836,South
Arkansas,1923,7951163,72459,AR,1836,South
Arkansas,1924,7993226,72938,AR,1836,South
Arkansas,1925,8021778,73265,AR,1836,South
Arkansas,1926,8040733,73496,AR,1836,South
Arkansas,1927,8060032,73707,AR,1836,South
Arkansas,1928,8073460,73861,AR,1836,South
Arkansas,1929,8088556,74036,AR,1836,South
Arkansas,1930,8104640,74232,AR,1836,South
Arkansas,1931,8114916,74361,AR,1836,South
Arkansas,1932,8122524,74456,AR,1836,South
Arkansas,1933,8126387,74507,AR,1836,South
Arkansas,1934,8126387,74507,AR,1836,South
Arkansas,1935,8126387,74507,AR,1836,South
Arkansas,1936,8126387,74507,AR,1836,South
Arkansas,1937,8126387,74507,AR,1836,South
Arkansas,1938,8126387,74507,AR,1836,South
Arkansas,1939,8126387,74507,AR,1836,South
Arkansas,1940,8126387,74507,AR,1836,South
Arkansas,1941,8126387,74507,AR,1836,South
Arkansas,1942,8128236,74534,AR,1836,South
Arkansas,1943,8129396,74546,AR,1836,South
Arkansas,1944,8129638,74550,AR,1836,South
Arkansas,1945,8129998,74556,AR,1836,South
Arkansas,1946,8130432,74561,AR,1836,South
Arkansas,1947,8130911,74567,AR,1836,South
Arkansas,1948,8131427,74577,AR,1836,South
Arkansas,1949,8131747,74583,AR,1836,South
Arkansas,1950,8132147,74590,AR,1836,South
Arkansas,1951,8132716,74599,AR,1836,South
Arkansas,1952,8132842,74602,AR,1836,South
Arkansas,1953,8132922,74604,AR,1836,South
Arkansas,1954,8133168,74607,AR,1836,South
Arkansas,1955,8133391,74612,AR,1836,South
Arkansas,1956,8133671,74618,AR,1836,South
Arkansas,1957,8133791,74620,AR,1836,South
Arkansas,1958,8133791,74620,AR,1836,South
Arkansas,1959,8133791,74620,AR,1836,South
Arkansas,1960,8133791,74620,AR,1836,South
Arkansas,1961,8133791,74620,AR,1836,South
California,1868,12286,79,CA,1850,West
California,1869,50856,325,CA,1850,West
California,1870,77088,496,CA,1850,West
California,1871,107600,708,CA,1850,West
California,1872,129000,854,CA,1850,West
California,1873,168514,1119,CA,1850,West
California,1874,195778,1313,CA,1850,West
California,1875,259060,1888,CA,1850,West
California,1876,465640,3950,CA,1850,West
California,1877,545917,4555,CA,1850,West
California,1878,666315,5625,CA,1850,West
California,1879,776738,6626,CA,1850,West
California,1880,887803,7480,CA,1850,West
California,1881,1049989,8658,CA,1850,West
California,1882,1235213,10012,CA,1850,West
California,1883,1405759,11211,CA,1850,West
California,1884,1565337,12343,CA,1850,West
California,1885,1706672,13344,CA,1850,West
California,1886,1833638,14221,CA,1850,West
California,1887,1958445,15070,CA,1850,West
California,1888,2101323,16058,CA,1850,West
California,1889,2256071,17100,CA,1850,West
California,1890,2422476,18224,CA,1850,West
California,1891,2643733,19721,CA,1850,West
California,1892,2875259,21268,CA,1850,West
California,1893,3110902,22843,CA,1850,West
California,1894,3321181,24246,CA,1850,West
California,1895,3492675,25397,CA,1850,West
California,1896,3669270,26586,CA,1850,West
California,1897,3846933,27783,CA,1850,West
California,1898,4072627,29331,CA,1850,West
California,1899,4248009,30535,CA,1850,West
California,1900,4433607,31815,CA,1850,West
California,1901,4583976,32857,CA,1850,West
California,1902,4719982,33795,CA,1850,West
California,1903,4841934,34632,CA,1850,West
California,1904,4954573,35409,CA,1850,West
California,1905,5067182,36196,CA,1850,West
California,1906,5155055,36802,CA,1850,West
California,1907,5221634,37276,CA,1850,West
California,1908,5311205,37904,CA,1850,West
California,1909,5374431,38360,CA,1850,West
California,1910,5485196,39128,CA,1850,West
California,1911,5589459,39862,CA,1850,West
California,1912,5681683,40513,CA,1850,West
California,1913,5815248,41492,CA,1850,West
California,1914,5959375,42569,CA,1850,West
California,1915,6104844,43691,CA,1850,West
California,1916,6278260,45060,CA,1850,West
California,1917,6505191,46825,CA,1850,West
California,1918,6752893,48641,CA,1850,West
California,1919,6983924,50333,CA,1850,West
California,1920,7283760,52245,CA,1850,West
California,1921,7552034,53701,CA,1850,West
California,1922,7835801,55220,CA,1850,West
California,1923,8125586,56510,CA,1850,West
California,1924,8390855,57617,CA,1850,West
California,1925,8597819,58450,CA,1850,West
California,1926,8807060,59276,CA,1850,West
California,1927,9007990,60051,CA,1850,West
California,1928,9165434,60696,CA,1850,West
California,1929,9311058,61346,CA,1850,West
California,1930,9431263,61889,CA,1850,West
California,1931,9588006,62598,CA,1850,West
California,1932,9706144,63125,CA,1850,West
California,1933,9812633,63609,CA,1850,West
California,1934,9913517,64061,CA,1850,West
California,1935,10010702,64522,CA,1850,West
California,1936,10108185,65003,CA,1850,West
California,1937,10224898,65498,CA,1850,West
California,1938,10325140,65910,CA,1850,West
California,1939,10373585,66116,CA,1850,West
California,1940,10406313,66237,CA,1850,West
California,1941,10429222,66346,CA,1850,West
California,1942,10437579,66389,CA,1850,West
California,1943,10442594,66420,CA,1850,West
California,1944,10444905,66440,CA,1850,West
California,1945,10445743,66443,CA,1850,West
California,1946,10446320,66446,CA,1850,West
California,1947,10446320,66446,CA,1850,West
California,1948,10447247,66454,CA,1850,West
California,1949,10448964,66471,CA,1850,West
California,1950,10454893,66530,CA,1850,West
California,1951,10465035,66621,CA,1850,West
California,1952,10469718,66667,CA,1850,West
California,1953,10471524,66683,CA,1850,West
California,1954,10474145,66705,CA,1850,West
California,1955,10474590,66710,CA,1850,West
California,1956,10475180,66717,CA,1850,West
California,1957,10475260,66718,CA,1850,West
California,1958,10475500,66720,CA,1850,West
California,1959,10476288,66727,CA,1850,West
California,1960,10476887,66734,CA,1850,West
California,1961,10477595,66738,CA,1850,West
Colorado,1868,0,0,CO,1876,West
Colorado,1869,8837,57,CO,1876,West
Colorado,1870,20506,134,CO,1876,West
Colorado,1871,33729,222,CO,1876,West
Colorado,1872,44309,292,CO,1876,West
Colorado,1873,59353,396,CO,1876,West
Colorado,1874,72926,495,CO,1876,West
Colorado,1875,97459,692,CO,1876,West
Colorado,1876,132921,988,CO,1876,West
Colorado,1877,159410,1199,CO,1876,West
