STUSPS,region,division,year,tot_pop,children,white_immig,white_non_immig,blk,blk_sharecrop,blk_farms,urban_pop,urban_immig_pop,tot_hh,police,teachers,socwork,inst_correctional,inst_mental,inst_poor_disabled
AL,South,East South Central,1900,1842206,885139,44831,950442,844829,415702,502628,223220,7122,1842706,540,5121,19,1679,1654,770
AL,South,East South Central,1910,2126456,973210,55365,1173035,891917,456554,547722,381253,8725,2127256,851,8403,9,1721.0400000000004,2366.4300000000007,286.84
AL,South,East South Central,1920,2348060.3699998776,1050002.8300000257,57390.00999999994,1383298.3899999296,905518.0400000337,438550.4100000067,532333.220000008,513191.6600000212,9604.300000000005,2348060.3699998776,1022,11309,48,1830,2331,1173
AL,South,East South Central,1930,2642467.2000003234,1128923.8499997638,57036.74999999947,1658507.5499995195,922985.8499998588,398853.4500000282,491020.8000000388,729767.5499999479,11609.250000000015,2642467.2000003234,1578,17578,135,5454,1257,2922
AZ,West,Mountain,1900,119532,48841,17358,39911,702,0,0,18846,1705,119532,137,487,0,349,183,127
AZ,West,Mountain,1910,193120,67693,40018,60086,14131,0,900,62366,6725,193420,193,945,7,1038.9499999999985,922.8999999999995,0
AZ,West,Mountain,1920,334142.9000000074,124092.40999999958,45795.499999999854,143188.1200000009,6264.149999999991,0,198.72,121629.47999999947,8429.380000000012,334142.9000000074,316,2393,10,555,0,83
AZ,West,Mountain,1930,437517.30000003264,166365.6000000014,51888.29999999962,213509.25000000684,11003.55000000001,1110.4500000000003,1211.4000000000003,147992.69999999928,7066.499999999992,437517.30000003264,470,4199,44,919,791,678
AR,South,West South Central,1900,1326759,635947,41822,917525,366808,181565,247157,104808,2610,1326759,372,4419,2,1246,690,748
AR,South,West South Central,1910,1568406,719625,63445,1078307,425849,212528,289706,212995,7213,1573923,526,6822,3,776.7799999999999,1411.26,913.3000000000001
AR,South,West South Central,1920,1754664.5199997441,794290.1400000345,64959.00000000027,1213268.5499999854,473116.3200000098,260943.53000000762,345063.5900000072,285203.900000008,8663.19,1754664.5199997441,507,9451,14,1070,2000,681
AR,South,West South Central,1930,1870906.3499994215,771762.7499999285,46033.199999999786,1338798.899999667,483550.50000003795,266709.90000001295,324958.05000001966,391282.2000000273,6460.799999999993,1870906.3499994215,863,12565,48,1475,3507,1596
CA,West,Pacific,1900,1473042,454903,734456,604122,7614,101,301,774057,178030,1482277,1629,10291,6,2897,4684,11666
CA,West,Pacific,1910,2387862,661653,1111151,1062990,25061,600,2201,1534860,325972,2407384,2881,16505,57,5824.090000000004,6116.6,18842.349999999842
CA,West,Pacific,1920,3427344.259999611,970369.640000041,1451277.9499999783,1614148.2199999732,43284.05000000007,295.90999999999997,1442.37,2319789.659999822,408439.5600000233,3427344.259999611,4304,26670,379,2065,6370,15469
CA,West,Pacific,1930,5701958.8500059685,1557557.549999566,2064427.4999993322,2904735.3000008073,83586.59999999871,2927.5499999999993,4138.949999999997,4108261.200003028,592172.7000000114,5701958.8500059685,9980,52432,1422,13604,15742,22850
CO,West,Mountain,1900,542669,188570,222390,293120,8213,200,200,269199,40514,545973,418,3333,3,1044,550,1494
CO,West,Mountain,1910,792578,269301,322811,432453,11525,0,909,398687,68478,797489,718,6076,11,1577.6200000000003,1721.0400000000004,2581.560000000001
CO,West,Mountain,1920,939257.3599999483,336231.89999998943,311316.58999999403,569062.9799999967,12828.590000000004,292.53000000000003,292.53000000000003,447752.71999999374,57936.3500000002,939257.3599999483,741,8502,84,817,1905,1602
CO,West,Mountain,1930,1050384.7499998,361703.8500000239,293764.50000001607,657790.1999999811,10599.750000000007,0,0,521103.9000000423,44518.94999999983,1050384.7499998,1129,11471,176,1978,3177,4292
CT,Northeast,New England,1900,900654,297441,501829,384872,11946,101,1003,568081,155498,903262,616,5478,3,2041,2536,3711
CT,Northeast,New England,1910,1131030,374999,708439,409659,11526,0,401,777372,244947,1134944,920,7568,18,3370.3700000000013,3011.820000000001,4230.890000000001
CT,Northeast,New England,1920,1380570.3699998786,475234.620000017,913655.8300000535,440643.0800000131,21607.899999999965,210.43,633.53,962338.2400000574,281079.4200000121,1380570.3699998786,1529,10159,133,1760,4701,3947
CT,Northeast,New England,1930,1610455.3499995416,540385.3500000353,1039583.099999805,539073.0000000359,25742.250000000116,0,0,1500823.6499995922,366448.50000002445,1610455.3499995416,2547,14084,316,1732,6295,5645
DE,South,South Atlantic,1900,177599,64984,37906,107589,31604,2403,4103,80514,10837,177599,130,869,0,17,384,586
DE,South,South Atlantic,1910,199002,65492,42552,117228,39222,4923,8037,96777,14048,199702,158,1155,1,0,573.68,1219.0700000000002
